"id_fatura","id_processamento","id_cliente","fl_ativa","dt_vencimento","vl_minimo_pagamento","vl_fatura"
1787084,2409,31791,N,2023-05-15,130.21,623.10
1758256,2403,31791,N,2023-04-15,133.91,645.58
1701171,2391,31791,N,2023-02-15,168.07,816.39
1729605,2397,31791,N,2023-03-15,223.81,845.48
1672913,2385,31791,N,2023-01-15,134.85,650.30
1644864,2379,31791,N,2022-12-15,134.64,649.25
1534442,2355,31791,N,2022-08-15,132.61,639.07
1589238,2367,31791,N,2022-10-15,135.06,651.33
1616971,2373,31791,N,2022-11-15,135.99,655.99
1454120,2337,31791,N,2022-05-15,130.18,626.94
1561741,2361,31791,N,2022-09-15,134.48,648.46
1507267,2349,31791,N,2022-07-15,135.19,652.00
1480471,2343,31791,N,2022-06-15,135.94,655.72
1427723,2331,31791,N,2022-04-15,158.94,686.12
1401717,2325,31791,N,2022-03-15,155.63,671.18
1325035,2307,31791,N,2021-12-15,134.84,650.23
1299828,2301,31791,N,2021-11-15,135.26,652.32
1275161,2295,31791,N,2021-10-15,105.73,504.69
1250973,2289,31791,N,2021-09-15,114.40,508.80
1226953,2283,31791,N,2021-08-15,102.86,490.35
1180427,2271,31791,N,2021-06-15,104.57,498.91
1165216,2265,31791,N,2021-05-15,0.00,0.00
1165213,2263,31791,N,2021-05-05,0.00,0.00
1854456,2423,31770,N,2023-07-25,0.00,0.00
1883877,2429,31770,S,2023-08-25,0.00,0.00
1825202,2417,31770,N,2023-06-25,0.00,0.00
1796113,2411,31770,N,2023-05-25,0.00,0.00
1767160,2405,31770,N,2023-04-25,0.00,0.00
1709922,2393,31770,N,2023-02-25,0.00,0.00
1738408,2399,31770,N,2023-03-25,0.00,0.00
1681602,2387,31770,N,2023-01-25,0.00,0.00
1570207,2363,31770,N,2022-09-25,0.00,0.00
1653492,2381,31770,N,2022-12-25,0.00,0.00
1542828,2357,31770,N,2022-08-25,0.00,0.00
1597736,2369,31770,N,2022-10-25,0.00,0.00
1625541,2375,31770,N,2022-11-25,0.00,0.00
1435927,2333,31770,N,2022-04-25,127.81,328.89
1515737,2351,31770,N,2022-07-25,0.00,0.00
1462264,2339,31770,N,2022-05-25,260.10,405.34
1488709,2345,31770,N,2022-06-25,0.00,0.00
1383957,2321,31770,N,2022-02-25,39.90,175.55
1409775,2327,31770,N,2022-03-25,24.24,97.25
1358289,2315,31770,N,2022-01-25,30.88,130.44
1332881,2309,31770,N,2021-12-25,49.18,197.44
1282737,2297,31770,N,2021-10-25,29.32,122.62
1307605,2303,31770,N,2021-11-25,65.99,305.99
1210476,2279,31770,N,2021-07-25,0.00,0.00
1205943,2273,31770,N,2021-06-25,0.00,0.00
1234292,2285,31770,N,2021-08-25,0.00,0.00
1845356,2421,31776,N,2023-07-15,0.00,0.00
1874746,2427,31776,S,2023-08-15,0.00,0.00
1816213,2415,31776,N,2023-06-15,0.00,0.00
1787082,2409,31776,N,2023-05-15,0.00,0.00
1758254,2403,31776,N,2023-04-15,0.00,0.00
1701169,2391,31776,N,2023-02-15,0.00,0.00
1729603,2397,31776,N,2023-03-15,0.00,0.00
1672911,2385,31776,N,2023-01-15,0.00,0.00
1644862,2379,31776,N,2022-12-15,0.00,0.00
1534440,2355,31776,N,2022-08-15,0.00,0.00
1589236,2367,31776,N,2022-10-15,0.00,0.00
1616969,2373,31776,N,2022-11-15,0.00,0.00
1454118,2337,31776,N,2022-05-15,0.00,0.00
1561739,2361,31776,N,2022-09-15,0.00,0.00
1507265,2349,31776,N,2022-07-15,0.00,0.00
1350440,2313,31776,N,2022-01-15,0.00,0.00
1375890,2319,31776,N,2022-02-15,0.00,0.00
1480469,2343,31776,N,2022-06-15,0.00,0.00
1427721,2331,31776,N,2022-04-15,0.00,0.00
1401715,2325,31776,N,2022-03-15,0.00,0.00
1325033,2307,31776,N,2021-12-15,0.00,0.00
1299826,2301,31776,N,2021-11-15,0.00,0.00
1275159,2295,31776,N,2021-10-15,0.00,0.00
1250971,2289,31776,N,2021-09-15,0.00,0.00
1226951,2283,31776,N,2021-08-15,0.00,0.00
1203271,2277,31776,N,2021-07-15,152.91,194.88
1152575,2259,31776,N,2021-04-15,0.00,0.00
1180426,2271,31776,N,2021-06-15,108.72,155.40
1157988,2265,31776,N,2021-05-15,44.09,44.09
1886938,2431,31777,S,2023-09-05,176.03,214.90
1741252,2401,31777,N,2023-04-05,88.75,247.29
1712710,2395,31777,N,2023-03-05,105.06,501.35
1828147,2419,31777,N,2023-07-05,114.62,545.14
1684347,2389,31777,N,2023-02-05,86.96,410.84
1600349,2371,31777,N,2022-11-05,0.00,0.00
1656159,2383,31777,N,2023-01-05,205.99,1005.99
1545270,2359,31777,N,2022-09-05,69.50,144.04
1518138,2353,31777,N,2022-08-05,210.73,841.73
1572724,2365,31777,N,2022-10-05,227.19,932.51
1628159,2377,31777,N,2022-12-05,205.99,1005.99
1438148,2335,31777,N,2022-05-05,28.57,86.94
1464506,2341,31777,N,2022-06-05,123.26,592.33
1491022,2347,31777,N,2022-07-05,125.93,605.68
1386045,2323,31777,N,2022-03-05,115.15,514.43
1334925,2311,31777,N,2022-01-05,98.55,433.69
1360290,2317,31777,N,2022-02-05,106.70,475.52
1411917,2329,31777,N,2022-04-05,117.14,561.75
1260125,2293,31777,N,2021-10-05,85.21,402.09
1284627,2299,31777,N,2021-11-05,114.87,550.38
1235979,2287,31777,N,2021-09-05,0.00,0.00
1309616,2305,31777,N,2021-12-05,103.57,449.87
1166214,2269,31777,N,2021-06-05,0.00,0.00
1188824,2275,31777,N,2021-07-05,0.00,0.00
1212099,2281,31777,N,2021-08-05,0.00,0.00
1837523,2420,31782,N,2023-07-10,97.49,459.51
1779366,2408,31782,N,2023-05-10,96.29,453.51
1808413,2414,31782,N,2023-06-10,51.95,231.81
1722014,2396,31782,N,2023-03-10,82.68,389.43
1750593,2402,31782,N,2023-04-10,125.84,574.06
1665447,2384,31782,N,2023-01-10,0.00,0.00
1693644,2390,31782,N,2023-02-10,77.79,365.00
1637463,2378,31782,N,2022-12-10,132.24,637.22
1609589,2372,31782,N,2022-11-10,60.35,277.81
1581960,2366,31782,N,2022-10-10,99.80,475.03
1527306,2354,31782,N,2022-08-10,0.00,0.00
1554547,2360,31782,N,2022-09-10,65.18,301.95
1420978,2330,31782,N,2022-04-10,7.99,7.99
1473597,2342,31782,N,2022-06-10,39.92,175.66
1447262,2336,31782,N,2022-05-10,52.03,204.24
1369263,2318,31782,N,2022-02-10,113.82,306.29
1395048,2324,31782,N,2022-03-10,7.99,7.99
1343881,2312,31782,N,2022-01-10,26.61,109.07
1269084,2294,31782,N,2021-10-10,57.60,264.06
1244960,2288,31782,N,2021-09-10,60.59,278.98
1293570,2300,31782,N,2021-11-10,61.01,261.12
1197617,2276,31782,N,2021-07-10,0.00,0.00
1221003,2282,31782,N,2021-08-10,0.00,0.00
1174937,2270,31782,N,2021-06-10,53.42,243.14
1837524,2420,31784,N,2023-07-10,0.00,0.00
1779367,2408,31784,N,2023-05-10,0.00,0.00
1808414,2414,31784,N,2023-06-10,0.00,0.00
1722015,2396,31784,N,2023-03-10,0.00,0.00
1750594,2402,31784,N,2023-04-10,0.00,0.00
1665448,2384,31784,N,2023-01-10,0.00,0.00
1693645,2390,31784,N,2023-02-10,0.00,0.00
1637464,2378,31784,N,2022-12-10,0.00,0.00
1609590,2372,31784,N,2022-11-10,0.00,0.00
1581961,2366,31784,N,2022-10-10,0.00,0.00
1527307,2354,31784,N,2022-08-10,0.00,0.00
1554548,2360,31784,N,2022-09-10,0.00,0.00
1473598,2342,31784,N,2022-06-10,0.00,0.00
1500176,2348,31784,N,2022-07-10,0.00,0.00
1447263,2336,31784,N,2022-05-10,0.00,0.00
1420979,2330,31784,N,2022-04-10,0.00,0.00
1343882,2312,31784,N,2022-01-10,0.00,0.00
1369264,2318,31784,N,2022-02-10,0.00,0.00
1395049,2324,31784,N,2022-03-10,0.00,0.00
1318595,2306,31784,N,2021-12-10,0.00,0.00
1269085,2294,31784,N,2021-10-10,0.00,0.00
1244961,2288,31784,N,2021-09-10,0.00,0.00
1293571,2300,31784,N,2021-11-10,0.00,0.00
1197618,2276,31784,N,2021-07-10,340.94,598.16
1221004,2282,31784,N,2021-08-10,503.84,706.57
1174938,2270,31784,N,2021-06-10,104.66,499.34
1845357,2421,31786,N,2023-07-15,0.00,0.00
1874747,2427,31786,S,2023-08-15,0.00,0.00
1816214,2415,31786,N,2023-06-15,0.00,0.00
1758255,2403,31786,N,2023-04-15,0.00,0.00
1787083,2409,31786,N,2023-05-15,0.00,0.00
1672912,2385,31786,N,2023-01-15,0.00,0.00
1729604,2397,31786,N,2023-03-15,0.00,0.00
1701170,2391,31786,N,2023-02-15,0.00,0.00
1644863,2379,31786,N,2022-12-15,0.00,0.00
1534441,2355,31786,N,2022-08-15,0.00,0.00
1589237,2367,31786,N,2022-10-15,0.00,0.00
1616970,2373,31786,N,2022-11-15,0.00,0.00
1454119,2337,31786,N,2022-05-15,0.00,0.00
1561740,2361,31786,N,2022-09-15,0.00,0.00
1507266,2349,31786,N,2022-07-15,0.00,0.00
1350441,2313,31786,N,2022-01-15,216.61,229.22
1375891,2319,31786,N,2022-02-15,342.24,376.95
1480470,2343,31786,N,2022-06-15,0.00,0.00
1427722,2331,31786,N,2022-04-15,0.00,0.00
1401716,2325,31786,N,2022-03-15,0.00,0.00
1325034,2307,31786,N,2021-12-15,101.72,101.72
1299827,2301,31786,N,2021-11-15,103.86,107.30
1275160,2295,31786,N,2021-10-15,237.34,405.94
1250972,2289,31786,N,2021-09-15,78.19,335.04
1203272,2277,31786,N,2021-07-15,61.63,284.19
1226952,2283,31786,N,2021-08-15,80.93,326.01
1188885,2271,31786,N,2021-06-15,0.00,0.00
1886940,2431,31787,S,2023-09-05,561.41,605.54
1857437,2425,31787,N,2023-08-05,269.99,272.66
1741254,2401,31787,N,2023-04-05,273.87,1305.41
1712712,2395,31787,N,2023-03-05,194.49,908.53
1828149,2419,31787,N,2023-07-05,264.04,264.04
1656161,2383,31787,N,2023-01-05,202.95,990.77
1684349,2389,31787,N,2023-02-05,262.91,1290.59
1600351,2371,31787,N,2022-11-05,169.09,704.45
1572726,2365,31787,N,2022-10-05,215.48,981.51
1628161,2377,31787,N,2022-12-05,155.49,753.48
1464508,2341,31787,N,2022-06-05,156.51,718.83
1438150,2335,31787,N,2022-05-05,104.23,497.20
1491024,2347,31787,N,2022-07-05,205.60,1004.05
1386047,2323,31787,N,2022-03-05,105.44,503.25
1360292,2317,31787,N,2022-02-05,105.65,504.29
1411919,2329,31787,N,2022-04-05,115.16,519.90
1284629,2299,31787,N,2021-11-05,141.33,345.64
1334927,2311,31787,N,2022-01-05,87.26,412.35
1235981,2287,31787,N,2021-09-05,191.56,520.75
1309618,2305,31787,N,2021-12-05,123.48,505.16
1166225,2269,31787,N,2021-06-05,0.00,0.00
