"id_cobranca","id_cliente","fl_ativo","fl_status_acordo","dt_entrada","dt_inicio_atraso","dt_inicio_juros","dt_saida","vl_divida_inicial"
12925,31493,N,C,2021-12-20,2021-10-10,2022-01-10,,793.28
12748,31538,N,S,2021-11-11,2021-09-01,2021-11-01,,451.60
12327,31546,N,C,2021-07-25,2021-05-15,2021-07-15,,720.74
14016,31558,N,C,2022-06-23,2022-04-20,2022-06-20,,538.94
13267,31559,N,S,2021-07-20,2022-02-27,2022-02-27,,278.76
12289,31560,N,S,2021-07-20,2021-05-10,2021-07-10,,857.59
13842,31640,S,C,2022-05-23,2022-03-20,2022-05-20,,250.65
13161,31649,N,S,2022-02-04,2021-11-25,2022-01-25,,588.16
13962,31728,N,S,2022-06-13,2022-04-10,2022-06-10,,628.40
14505,31740,N,C,2022-06-08,2022-09-06,2022-09-06,,176.13
13199,31766,N,C,2021-12-25,2022-02-10,2022-02-10,,311.88
12415,31784,S,P,2021-08-20,2021-06-10,2021-08-10,,214.56
13227,31786,N,C,2022-02-25,2021-12-15,2022-02-15,,384.94
