"id_bloqueio_cliente","id_cliente","id_tipo_bloqueio_cliente","dt_bloqueio","dt_desbloqueio","fl_liberado","dt_vencimento_fatura"
66988,19652,2,2022-09-28,2022-09-29,S,2022-09-25
70214,19652,2,2022-11-28,2022-12-02,S,2022-11-25
68457,19652,2,2022-10-28,2022-11-02,S,2022-10-25
53839,19680,3,2021-10-05,,N,
52386,19680,9,2021-08-04,2021-10-05,S,2021-07-25
60616,19715,9,2022-05-13,2022-07-13,S,2022-05-10
63670,19715,3,2022-07-13,,N,
80271,19775,2,2023-06-28,2023-07-07,S,2023-06-25
73131,19775,2,2023-01-28,2023-02-04,S,2023-01-25
67955,19825,-3,2022-10-15,,N,
60322,19866,3,2022-04-28,2023-03-07,S,
57934,19866,9,2022-03-07,2022-04-28,S,2022-02-25
52400,19866,2,2021-08-04,2021-08-10,S,2021-07-25
51806,19866,2,2021-07-05,2021-07-09,S,2021-06-25
74797,19866,5,2023-03-07,,N,
61249,19900,2,2022-05-23,2022-05-26,S,2022-05-20
62730,19900,2,2022-06-23,2022-06-28,S,2022-06-20
59907,19900,2,2022-04-23,2022-04-28,S,2022-04-20
75764,19900,2,2023-03-23,2023-04-04,S,2023-03-20
78682,19900,2,2023-05-23,2023-06-01,S,2023-05-20
77265,19900,2,2023-04-23,2023-05-03,S,2023-04-20
80170,19900,2,2023-06-23,,N,2023-06-20
74307,19900,2,2023-02-23,2023-03-03,S,2023-02-20
68344,19900,2,2022-10-23,2022-10-25,S,2022-10-20
71402,19900,2,2022-12-23,2022-12-30,S,2022-12-20
72868,19900,2,2023-01-23,2023-02-04,S,2023-01-20
64087,19900,2,2022-07-23,2022-07-27,S,2022-07-20
65376,19900,2,2022-08-23,2022-09-08,S,2022-08-20
69783,19900,2,2022-11-23,2022-11-30,S,2022-11-20
79289,19972,2,2023-06-13,2023-06-15,S,2023-06-10
58705,20046,2,2022-04-04,2022-04-20,S,2022-03-25
81897,20131,2,2023-08-08,2023-08-16,S,2023-08-05
55575,20145,2,2021-12-20,2022-01-08,S,2021-12-10
60646,20145,2,2022-05-13,2022-06-07,S,2022-05-10
57436,20145,2,2022-02-20,2022-03-04,S,2022-02-10
54130,20145,2,2021-10-20,2021-11-04,S,2021-10-10
78035,20145,2,2023-05-13,2023-05-23,S,2023-05-10
75000,20145,2,2023-03-13,2023-03-19,S,2023-03-10
67471,20145,2,2022-10-13,2022-11-06,S,2022-10-10
62582,20212,3,2022-06-18,2023-01-21,S,
59434,20212,9,2022-04-18,2022-06-18,S,2022-04-15
72765,20212,5,2023-01-21,,N,
60424,20251,24,2022-05-06,,N,
60039,20261,2,2022-04-28,2022-05-17,S,2022-04-25
64395,20261,9,2022-07-28,2022-09-28,S,2022-07-25
73348,20261,5,2023-02-04,,N,
63048,20261,2,2022-06-28,2022-06-30,S,2022-06-25
67247,20261,3,2022-09-28,2023-02-04,S,
60040,20274,9,2022-04-28,2022-06-28,S,2022-04-25
63070,20274,3,2022-06-28,,N,
53851,20321,3,2021-10-05,2023-03-30,S,
52404,20321,9,2021-08-04,2021-10-05,S,2021-07-25
76253,20321,5,2023-03-30,,N,
59239,20341,2,2022-04-13,2022-04-14,S,2022-04-10
60671,20341,2,2022-05-13,2022-05-20,S,2022-05-10
54131,20341,2,2021-10-20,2021-11-07,S,2021-10-10
69012,20341,2,2022-11-13,2023-01-13,S,2022-11-10
72439,20341,3,2023-01-13,,N,
